ID,MeetingNote
SeattleCityCouncil_12162016_CB 118879,"Meeting Title: Decision on Council Bills 118879 and 118880

Location: Seattle City Council

Date: 12/16/2016

Attendees:
- Speaker 1
- Speaker 2 (Maurice O'Brien, Bagshaw, Burgess)
- Speaker 3
- Speaker 8 (Gonzalez, Herbold, Johnson, President Harrell)

Agenda items discussed:
- Item 1: Council Bill 118879 concerning the sale of surplus property in the Snohomish County and the partial release of three easements for electrical service in King County.
- Item 2: Council Bill 118880 relating to establishing an interlocal agreement with the Kalispell Tribe of Indians.

Summary:
During the Seattle City Council meeting on December 16, 2016, the council discussed and passed two significant bills. The first, Council Bill 118879, involved authorizing the city’s light department to sell a small, 20-foot strip of surplus property in Snohomish County to an adjacent property owner for full market value at $163,000. Additionally, the bill authorized the partial release of three unneeded easements for electrical service in King County. The Energy Environment Committee had previously held a public hearing with no opposition from the public, leading to the committee's recommendation for the bill's passage.

The second bill discussed, Council Bill 118880, was about authorizing and directing the General Manager and CEO of the satellite department to execute an interlocal agreement with the Kalispell Tribe of Indians. 

Throughout the meeting, various attendees expressed their support for the bills, noting the lack of public opposition and the straightforward nature of the proposed actions. Nonetheless, there was a moment of hesitation from one council member indicating a desire for further discussion, albeit this was set aside to maintain the meeting's flow. Both bills received the majority vote in favor, reflecting the council's agreement on the matters at hand.

Notes:
- The meeting had a structured and straightforward proceeding with minimal opposition or debate on the presented bills.
- Councilmember Suarez played a notable role in introducing and advocating for the bills, emphasizing their benefits and the lack of public opposition.
- A brief moment of confusion occurred regarding the voting process, but it was quickly resolved, ensuring the smooth passage of both Council Bills 118879 and 118880.
- The council displayed a unified front on the decisions made, with President Harrell and other speakers concluding the session with positive remarks on the outcomes."
SeattleCityCouncil_11212016_CF 314362,"Meeting Title: Seattle City Council Budget Meeting 2016

Location: SeattleCityCouncil_11212016_CF 314362

Date: November 21, 2016

Attendees:
- Councilmember Burgess
- Councilmember Harrell
- Councilmember Herbold
- Councilmember Juarez
- Councilmember Johnson
- Councilmember Gonzalez
- Councilmember O'Brien
- Councilmember Bagshaw
- Councilmember Sawant

Agenda items discussed:
- Agenda item 35: Clerk File 314 362. City Council changes to the 2017 through 2018 proposed budget and the 2017 through 2022 proposed capital improvement program.
- Agenda Item 36: Council 118 849 Adopting a budget, including capital improvement program and position modifications.
- Agenda Item 37: Resolution 317 19 Endorsing new budget and position modifications for the City of Seattle for 2018.

Summary:
The Seattle City Council convened to discuss and vote on various critical budgetary items slated for the fiscal years 2017-2018 and extending through to 2022 concerning the proposed capital improvement program. The meeting focused primarily on three agenda items which included substantial changes to the city's budget, encompassing aspects such as capital improvement program adjustments and position modifications. Council members engaged in detailed discussions regarding the specific allocations within the budget, emphasizing support for programs focused on improving the lives of children, addressing homelessness, enhancing public safety, and fostering community development through various projects. A significant portion of the discourse highlighted the council's commitment to investing in the city's future through innovative and equitable development projects, addressing the needs of underrepresented communities, expanding educational opportunities, and prioritizing investments in affordable housing. The meeting saw council members both advocating for and questioning aspects of the proposed budget amendments, with a unanimous drive towards meeting the city's immediate and long-term needs.

Notes:
- Council members discussed the importance of focusing on vulnerable populations, including children and homeless individuals.
- Several council members highlighted initiatives they were proud of, including investments in public safety, affordable housing, educational opportunities, and community development projects.
- There was a notable emphasis on achieving equity and opportunity for all Seattle residents, reflecting the city's values in the budget planning process.
- The meeting also acknowledged the efforts of council central staff, department heads, and the mayor's office in shaping a budget aimed at addressing the city's critical needs.
- The final votes reflected strong support for the proposed budget adjustments, showcasing the council's commitment to fostering a vibrant, equitable, and prosperous Seattle."
SeattleCityCouncil_11142016_CB 118857,"Meeting Title: Review and Approval of Subdivision and Council Bill 118857

Location: SeattleCityCouncil_11142016_CB 118857

Date: November 14, 2016

Attendees:
- Speaker 0
- Speaker 1
- Speaker 2
- Speaker 5
- Councilmember Johnson
- Gonzalez
- Herbold
- Suarez
- O'Brien
- Sergeant Bagshaw
- Burgess
- President Harrell

Agenda items discussed:
- Agenda Item two Click File 314 25 Full subdivision application of Kris Jolly
- Agenda Item three Council Bill 11857

Summary:
The meeting focused on the discussion and approval of Agenda Item two and three, relating to the full subdivision application by Kris Jolly and Council Bill 11857. Councilmember Johnson emphasized the interconnectedness of these items, both pertaining to a plot in the Uptown Queen Anne neighborhood, destined for the construction of 16 townhomes. The process outlined involves initial review by the Department of Construction and Inspections, a public hearing by the hearings examiner, and a final review to ensure the improvements match the preliminary plat. The council debated the procedural aspects, emphasizing the community's opportunity for comment and the administrative review requirements for developments exceeding ten units. Ultimately, the council moved to approve both the clerk file and Council Bill 118857, with all members voting in favor. This formal approval opens the way for the sale of the newly created townhome lots.

Notes:
- Emphasis was placed on the procedures followed by the city in approving subdivisions, stressing the importance of public commentary and the examination process.
- Concerns regarding community engagement and transparency were addressed, with assurances that opportunities for public comment had been provided as per standard protocols.
- The unanimous approval of the council bill highlighted the council's support for the development, while also signifying the completion of a critical step in the city's legislative process for such developments.
- Immediate action after the meeting involved transitioning to the Seattle Parks District Board meeting, indicating the council's ongoing commitment to city governance and community development projects."
SeattleCityCouncil_09262016_CB 118796,"Meeting Title: Seattle City Council Meeting on Transportation and Sustainability

Location: SeattleCityCouncil_09262016_CB 118796

Date: September 26, 2016

Attendees:
- Speaker 7
- Speaker 0: Councilmember O'Brien
- Speaker 9
- Speaker 1: HERBOLD, Johnson, Suarez, BAGSHAW, Burgess, Gonzales, President Harrow

Agenda items discussed:
- The Report of the Sustainability and Transportation Committee Agenda Item 15 Council Bill 118 786
- Agenda Item 16 Constable 118813 Relating to utility permits and regulations

Summary: 
The meeting opened with a discussion on Agenda Item 15, where Speaker 7 reported on Council Bill 118786, which grants Swedish Health Services permission to construct a pedestrian skybridge over Minor Avenue. Councilmember O'Brien highlighted the project's extensive community engagement and the supportive response from the community. Additionally, Councilmember O'Brien mentioned a related project (Agenda Item 20) about an underground pedestrian tunnel, underscoring the city's comprehensive approach to infrastructure improvements in the First Hill area.

Following, the conversation shifted to Agenda Item 16, as Speaker 7 introduced Council Bill 118813 concerning utility permits and regulations. Speaker 9 elaborated on the bill, explaining its significance in regulating third-party cuts into roadways for utility or telecom work. The updated ordinance aims to extend the waiting period before cutting into newly paved roads from three to five years, aiming to preserve road quality longer while still allowing necessary utility work. The ordinance emphasizes the importance of coordination between the city and utility companies for project planning and introduces a process for ongoing updates to these regulations, managed by the Department of Transportation.

The meeting concluded with the passage of both bills, signifying progress in the city's transportation and utility management efforts. The council's unanimous support for these initiatives reflects a strong commitment to improving Seattle's infrastructure while considering community input and future needs.

Notes:
- The meeting focused on two key infrastructure projects with wide-ranging impact on Seattle's urban development and sustainability efforts.
- Significant emphasis was placed on community engagement and the positive response to the pedestrian skybridge project.
- The updated utility permit regulations illustrate a proactive approach to infrastructure maintenance and coordination between public entities and private companies.
- All bills discussed during the meeting were passed unanimously, highlighting a collaborative and forward-thinking city council."
SeattleCityCouncil_09122016_Res 31702,"Meeting Title: Discussion on Resolution 31702 and Initiative Measure 1491

Location: Seattle City Council

Date: September 12, 2016

Attendees:
- Speaker 2
- Speaker 7 (Councilman Burgess)
- Speaker 4
- Speaker 5
- Speaker 10

Agenda items discussed:
- Resolution 31702 Supporting Washington Initiative Measure 1491.
- Urging Seattle voters to vote yes on Initiative 1481 on the November 8th, 2016 general election ballot.
- Public comments on resolution and initiative measure.

Summary:
The meeting commenced with Speaker 10 introducing Agenda Item 3, Resolution 31702, which supports Washington Initiative Measure 1491. This initiative aims to urge Seattle voters to vote in favor on the November 8th, 2016 general election ballot. The focus of the resolution and the initiative is to suspend a person's access to firearms if there is documented evidence of a threat of harm to themselves or others due to dangerous mental illness or a high risk of violent behavior.

Speaker 2 elaborated on the resolution, illustrating its significance in enhancing public safety by filling gaps in the current system that allow individuals undergoing crises or demonstrating violent behavior to possess and purchase firearms. The initiative is modeled after successful laws across the country and is based on the well-established system of protection orders in Washington state.

Further into the meeting, Councilman Burgess (Speaker 7) addressed the council, highlighting the common-sense nature of Measure 1491. He emphasized the prevalence of gun violence incidents involving suicide or unintentional shootings and how this initiative would allow family members to petition for a court-ordered seizure of firearms from individuals at great risk.

Public comments were solicited, during which Cynthia Lynette (Speaker 4), expressed concerns regarding the resolution's implications, specifically the mandatory psychiatric treatment and potential use of psychotropic drugs. Following public comments and further discussion, a vote was held, and the resolution passed.

Finally, Speaker 10 introduced the next item on the agenda, Resolution 31703, which similarly supports Washington Initiative Measure 1433 and encourages a positive vote in the upcoming general election.

Notes:
The meeting provided a detailed discourse on the purpose and implications of Resolution 31702 and Washington Initiative Measure 1491, elucidating the council's stance on gun safety and mental health. Public concerns highlighted the complexity of addressing gun safety measures, balancing the need for public safety with individual rights and healthcare practices. The passing of the resolution reinforces the council's commitment to implementing preventative measures to address gun violence, acknowledging the role of family and mental health in this endeavor."
SeattleCityCouncil_09122016_CB 118769,"Meeting Title: Discussion and Passage of CB 118769

Location: Seattle City Council

Date: 09/12/2016

Attendees:
- Speaker 2
- Speaker 10
- Speaker 7 (Councilman Burgess)
- Speaker 3
- Cheryl
- Councilmembers: Herbold, Johnson, O'Brien, Sergeant Bagshaw, Gonzalez, President Herrell

Agenda items discussed:
- Passage of bill CB 118769 related to historic preservation, opposing controls upon the J.W. Bullock house.
- Establishment of controls on the J.W. Bullock house as a historic landmark.
- Next agenda item announcement.

Summary:
The meeting centered around the discussion and eventual passage of bill CB 118769, concerning historic preservation efforts for the J.W. Bullock house, a property designated as a historic landmark by the Landmarks Preservation Board under Chapter 25.12 Ceremonies for the code. An initial motion was made for Cheryl to sign the successfully passed bill. Following this, the council moved to discuss the specifics of the agenda item 25, which sought to impose preservation controls on the J.W. Bullock house. Councilman Burgess elaborated on the ordinance, distributing maps to show the house's location at 1220 10th Avenue East, highlighting its proximity to significant landmarks like St. Mark's Episcopal Cathedral on Capitol Hill. Built in 1912 and marked as a historic landmark in 2015, the urgency to preserve the historic character of the J.W. Bullock house and its neighborhood was emphasized, with the property owners and residents showing strong support for this initiative.

Councilman Burgess and the committee recommended the passage of the bill, underscoring its significance in protecting the architectural heritage of the area. Discussion ensued about the specifics of the legislation, followed by a roll call for the bill's passage. The bill saw unanimous support, demonstrating the council's collective commitment to the city's historical preservation efforts. The meeting concluded with the passage of the bill and a move to the next agenda item, marking a successful step towards preserving Seattle's historic landmarks.

Notes:
- The unanimous vote reflected strong council support for historic preservation.
- The detailed discussion on the J.W. Bullock house included its historical significance, location, and the community's support for its preservation.
- The emphasis was on the collaborative effort between property owners, residents, and the council to maintain the character of Seattle's historic neighborhoods.
- This meeting underscored the importance of local landmarks in city planning and cultural heritage preservation."
SeattleCityCouncil_09062016_CB 118764,"Meeting Title: Discussion on Council Bill 118764: Technology Matching Fund Program

Location: Seattle City Council

Date: 09/06/2016

Attendees:
- Speaker 1
- Speaker 2
- Speaker 3
- Speaker 0: Herbold
- Johnson
- O'Brien
- Sergeant Bagshaw
- Burgess
- President Harrell

Agenda items discussed:
- Overview of Council Bill 118764 and its objectives
- The allocation of $320,000 from Seattle Information Technology to ten community providers
- The goal to increase technology access, literacy, and digital equity opportunities
- Details on the maximum disbursement allowed per project
- The impact of these grants in supporting community technological needs
- Specific examples of projects funded by the grants
- Voting process and outcomes

Summary:
The meeting focused on discussing Council Bill 118764, an ordinance related to the Technology Matching Fund program, which aims at enhancing technological access and literacy among Seattle residents. The bill proposed allocating $320,000 from Seattle Information Technology to ten community providers. These allocations are intended to foster digital equity by increasing technology access, literacy, and by providing significant investments in community enterprises. It was highlighted that each project could receive a maximum of $50,000, with the grants being a crucial part of the city’s community investment strategy. The grants aim to empower individuals across all age groups and backgrounds with essential skills for navigating the 21st-century job market. The year's projects are anticipated to offer over $470,000 in community matching resources, reaching over 2,500 residents. Special mentions included initiatives by El Centro de la Raza, Native Girls Code, and the Urban League of Metropolitan Seattle, illustrating the diversity and impact of the funded projects. The discussion also covered the voting process on the bill, which saw a favorable outcome, leading to its passage. The meeting concluded with anticipation of positive impacts from the funded projects on communities, especially on immigrants, refugees, seniors, and individuals with disabilities.

Notes:
- The bill’s passage marks a significant investment in digital equity, aiming to address the technology gap among Seattle’s diverse population.
- Over 2,500 residents, including 580 immigrants and refugees, 1,240 seniors, and 1,100 people with disabilities, are expected to benefit from these initiatives.
- The committee's emphasis on community matching funds exemplifies a collaborative approach to enhancing the city's technological infrastructure and accessibility.
- The projects funded through this initiative serve as a model of how technology grants can be leveraged to support educational and professional development in underserved communities.
- The successful voting outcome (8 in favor, 0 opposed) reflects a unanimous council support for strengthening the city's commitment to digital inclusion and equity."
SeattleCityCouncil_09062016_CB 118751,"**Meeting Title:** Review and Acceptance of Grants for City Departments

**Location:** Seattle City Council

**Date:** 09/06/2016

**Attendees:**
- Speaker 1
- Speaker 2 (Casper and Burgess)
- Speaker 4
- Speaker 0 (Participants for roll call: Gonzalez, HERBOLD, Johnson, O'BRIEN, Sergeant Bagshaw, Burgess, President Harrell)

**Agenda items discussed:**
- The Report of the Affordable Housing Neighborhoods and Finance Committee: An ordinance for 2016 acceptance of funding from non-city sources.
- Authorization for heads of the Executive Department, Department of Parks and Recreation, Human Services Department, Seattle Fire Department, Seattle Police Department, Legislative Department, and Seattle Public Utilities to accept specified grants.
- Execution, delivery, and performance of corresponding agreements.
- Ratifying and confirming certain prior acts.
- Second grant acceptance ordinance of 2016 and the authorization for city departments to accept under $4 million of outside support.
- Highlight on grants: $1.9 million from the Washington State Department of Commerce to the Department of Parks and Recreation and $500,000 from the King County Flood Control District for Seattle Public Utilities.
- Passage of the bill.

**Summary:**
During the meeting held by the Seattle City Council on September 6, 2016, members discussed and deliberated on the acceptance of funding from non-city sources for various city departments. The meeting kicked off with Speaker 1 presenting a report from the Affordable Housing Neighborhoods and Finance Committee. The ordinance discussed aimed to authorize the acceptance of funding for the year 2016 from external sources. It was emphasized that this funding would enable the heads of various departments including the Executive Department, Department of Parks and Recreation, Human Services Department, Seattle Fire Department, Seattle Police Department, Legislative Department, and Seattle Public Utilities to accept specified grants. Furthermore, it would allow for the execution, delivery, and performance of corresponding agreements while also ratifying and confirming certain prior acts. Speaker 4 shed light on this being the second grant acceptance ordinance of 2016, detailing that it would facilitate city departments in accepting nearly $4 million of external support for a range of projects. Notable grants included $1.9 million from the Washington State Department of Commerce directed to the Department of Parks and Recreation to support the Urban Forestry, Green Seattle Partnership, and $500,000 from the King County Flood Control District to Seattle Public Utilities. This funding from King County serves as the initial installment of a cumulative $4 million in flood control project funding spanning from 2016 to 2020. After the discussion, the bill was put to a vote, where it passed unanimously with eight votes in favor. The successful passage of this bill signifies the city's commitment to enhancing its services and infrastructure through external financial support.

**Notes:**
- The unanimous vote underscores the council's collective agreement on the importance of accepting external grants for city enhancement projects.
- The role of the Seattle City Council in facilitating and approving financial decisions critical to city development was highlighted.
- The grant from the Washington State Department of Commerce and the King County Flood Control District signifies substantial support toward urban forestry and flood control projects, respectively, showcasing the ongoing efforts to improve Seattle's infrastructure and environmental sustainability."
SeattleCityCouncil_09062016_CB 118759,"Meeting Title: Review and Passage of Council Bill 118759

Location: Seattle City Council

Date: September 6, 2016

Attendees:
- Speaker 1
- Speaker 2
- Speaker 4
- Councilmember Herbold
- Councilman Gonzales

Agenda items discussed:
- Council Bill 118759: Authorization for the Department of Neighborhoods to implement Neighborhood Matching Fund projects in 2016.
- The automatic carry forward of 2016 appropriations for the neighborhood matching sub fund to future budget years.
- Projects to be funded by the bill, including the Zulu's Urbana Project, Rainier Valley Radio studio, digital storytelling classes by One America, and various community and educational developments.
- The role of district councils and other geographically based organizations in vetting projects for the Neighborhood Matching Fund.
- The positive impact of the Neighborhood Matching Fund on community engagement and crime reduction.
- Specific grant recommendations, particularly for One America and the Chinese Information and Service Center.

Summary:
The meeting focused on the passage of Council Bill 118759, proposing authorization for the Department of Neighborhoods to implement various community projects under the Neighborhood Matching Fund program for the year 2016. Addressing a broad slate of initiatives, the bill aims to support projects that foster community involvement, arts, education, and infrastructural improvements across diverse Seattle neighborhoods. A significant portion of the discussion revolved around the unique method of selecting these projects, highlighting the critical role played by district councils and other local organizations in this process. A notable emphasis was placed on the inclusion and support of projects aimed at fostering digital literacy, providing educational spaces, and enhancing community facilities. Council members shared insights into the anticipated positive impacts of these projects, not only in terms of immediate community benefits but also concerning long-term social effects, such as crime reduction and the empowerment of immigrant communities through language skills and digital literacy. The successful passage of the bill, as indicated by unanimous support, signifies a strong commitment towards community-driven initiatives and the continuous endorsement of the Neighborhood Matching Fund program by the council.

Notes:
- The Committee recommends the passage of Council Bill 118759, highlighting its significance in promoting community projects and enhancing neighborhood engagement.
- Detailed discussion on the importance of a structured selection process for project funding, with an emphasis on the need for a geographically based vetting organization.
- Highlighted projects promise to deliver diverse benefits ranging from arts engagement in the Central District to educational advancements and public space enhancements in various neighborhoods.
- The Council expressed strong support for the Neighborhood Matching Fund's role in reducing crime and fostering community cohesion through grassroots projects.
- Personal remarks by Council members emphasized the broader social benefits of the bill, particularly in supporting immigrant communities through education and storytelling, illustrated by passionate support for the grants going to One America and the Chinese Information and Service Center."
SeattleCityCouncil_09062016_CB 118693,"Meeting Title: Seattle City Council Meeting - Review of Council Bill 118693

Location: SeattleCityCouncil_09062016_CB 118693

Date: September 6, 2016

Attendees:
- Speaker 1
- Speaker 2 (Councilmember Johnson)
- Speaker 6
- Speaker 0
- Speaker 0 (Herbold)
- Speaker 6 (JOHNSON)
- Speaker 0 (O'BRIEN)
- Sergeant Bagshaw
- BURGESS
- President Harrell

Agenda items discussed:
- Report of the Planning Land Use and Zoning Committee on Council Bill 118693
- Public hearing feedback on Council Bill 118693
- Approval and passage of Council Bill 118693

Summary:
During the Seattle City Council meeting held on September 6, 2016, the main focus was the review of Council Bill 118693, which centers around amendments to the Seattle Municipal Code for development standards in the Ballard Hub Urban Village. The discussion was initiated by Speaker 1, providing a brief overview of the bill, emphasizing its intent to modify land use and zoning by amending sections 3.478.05 and 23.478.09. These amendments aim to adopt development standards that encourage a more vibrant, pedestrian-oriented commercial district within the Ballard Hub Urban Village. 

Councilmember Johnson, as Speaker 2, provided comprehensive details on the community engagement process leading up to these proposed changes, mentioning over two and a half years of public input from residents, businesses, the faith community, and nonprofits in Ballard. Special recognition was given to the Office of Planning Community Development and David Goldberg for their significant contributions, along with the Ballard Partnership for Smart Growth for their energy and collaboration in achieving these zoning changes. Speaker 2 clarified that the proposed amendments would not alter building heights but would encourage pedestrian-friendly development through specific requirements like parking location changes and the extension of pedestrian designation areas.

Attendees of the meeting, including Councilmember Johnson, Speaker 0, Sergeant Bagshaw, and President Harrell, participated in the roll call, ultimately passing the bill unanimously. This decision highlighted the council's support for the bill, reflecting the overwhelming positive public feedback received during the public hearing phase.

Notes:
- The bill specifically avoids altering height limits, focusing instead on promoting pedestrian-friendly urban development.
- The unanimous support for the bill's passage underscores the council's commitment to reflecting community desires for the Ballard Hub Urban Village's growth and development.
- This meeting serves as a significant step towards enhancing the Ballard area's appeal and functionality as a commercial and residential district, marking a milestone in Seattle's urban planning efforts."
